tconst,primaryTitle,startYear,averageRating,numVotes
tt0111161,The Shawshank Redemption,1994,9.3,3162566
tt0068646,The Godfather,1972,9.2,2208618
tt0468569,The Dark Knight,2008,9.1,3139846
tt0167260,The Lord of the Rings: The Return of the King,2003,9.0,2148923
tt0108052,Schindler's List,1993,9.0,1575435
tt0071562,The Godfather Part II,1974,9.0,1484114
tt0050083,12 Angry Men,1957,9.0,975507
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2189622
tt1375666,Inception,2010,8.8,2791876
tt0137523,Fight Club,1999,8.8,2579770
