genre,primaryTitle,startYear,averageRating,numVotes,rank_in_genre
Action,Sabayan sa laban,2002,9.8,8,1
Action,Alpha: Men Love Vengeance,2026,9.6,316,2
Action,Gintama: Yoshiwara in Flames,2026,9.6,90,3
Adult,My boyfriends daddy is my man,2022,10.0,6,1
Adult,Racquel Untamed,1990,9.8,10,2
Adult,Squirting MILFs,2022,9.8,7,3
Adventure,Borderline Forever,2021,9.8,117,1
Adventure,Parto,2010,9.8,88,2
Adventure,Buried in Tucson,2007,9.8,19,3
Animation,Gintama: Yoshiwara in Flames,2026,9.6,90,1
Animation,Family Felinz Network,2025,9.4,25,2
Animation,I'll Be Frank,2022,9.4,7,3
Biography,Streets of Flamenco,2021,9.8,8,1
Biography,Transcending Surgeon,2014,9.8,7,2
Biography,Palace Guardians,2024,9.7,28,3
Comedy,Wardeh Deesheh,1991,10.0,5,1
Comedy,Borderline Forever,2021,9.8,117,2
Comedy,Em Queda-Livre,2024,9.8,41,3
Crime,Asatveera,2021,9.8,11,1
Crime,Dheera Samrat,2024,9.7,101,2
Crime,Visha Gati,2025,9.7,15,3
Documentary,Widow of the Revolution: The Anna Larina Story,2000,10.0,28,1
Documentary,Let Me Talk My Ish: ENess,2025,10.0,8,2
Documentary,Ami Soumitra,2022,10.0,7,3
Drama,Mapaglaro,1986,10.0,9,1
Drama,Chasing Glamour,2023,10.0,8,2
Drama,El Sueño Americano,2025,10.0,7,3
Family,Nanak Naam Jahaz Hai,2024,9.8,68,1
Family,Budapest to Gettysburg,2007,9.8,8,2
Family,Raibaar,2025,9.7,100,3
Fantasy,Borderline Forever,2021,9.8,117,1
Fantasy,Monster,2024,9.7,134,2
Fantasy,The Land of Women,2024,9.5,140,3
Film-Noir,Sunset Boulevard,1950,8.4,259657,1
Film-Noir,Double Indemnity,1944,8.3,180275,2
Film-Noir,I Am a Fugitive from a Chain Gang,1932,8.2,15548,3
Game-Show,Worlds Apart,2020,8.8,27,1
Game-Show,Vegas Vikings,2014,8.6,13,2
Game-Show,Semau gue,1977,8.5,11,3
History,Ranapati Shivray Swari Agra,2026,9.9,1651,1
History,Dalla Regia Marina alla Decima Mas,2017,9.8,9,2
History,L'ultimo sparviero,2016,9.8,9,3
Horror,Adrushya,2025,9.4,234,1
Horror,Scumtown High,2026,9.4,74,2
Horror,Psylibrium: A collection of Short Films by Sergiy Pudich,2025,9.3,38,3
Music,Victoria's Secret: Show at the Fashion Café,1998,10.0,19,1
Music,Resilience & Sacrifice,2025,10.0,7,2
Music,Wardeh Deesheh,1991,10.0,5,3
Musical,Kalrav (Sound of running water),2023,9.8,64,1
Musical,Rock Musical Bleach,2012,9.8,22,2
Musical,Di bale na lang,1987,9.6,51,3
Mystery,Prince Oak Oakleyski: Eurasia Handsome Sovereign,2022,9.8,75,1
Mystery,Who Is Prince Oak Oakleyski,2022,9.7,69,2
Mystery,In the Name of Science: Deception,2025,9.7,28,3
News,Prince Oak Oakleyski Most Handsome in the World Handsomest,2022,9.7,75,1
News,Prince Oak Oakleyski and News Interviewers,2022,9.6,77,2
News,Man's Best Friend,2012,9.6,10,3
Reality-TV,FDA: Fresh Empire Campaign,2016,10.0,19,1
Reality-TV,Blind Surfer with Pete Gustin,2020,9.8,10,2
Reality-TV,Prince Oak Oakleyski and News Interviewers,2022,9.6,77,3
Romance,Chandini Bar,2023,9.8,14,1
Romance,Enakta Leiringei,2017,9.8,12,2
Romance,I Found My Heart in Sante Fe,2017,9.8,9,3
Sci-Fi,Visha Gati,2025,9.7,15,1
Sci-Fi,The Eagle Obsession,2025,9.6,19,2
Sci-Fi,Öngörülemeyen Sonuçlar,2021,9.4,227,3
Sport,Journeyman,2025,9.8,14,1
Sport,Monsoon Football,2019,9.7,13,2
Sport,Our Club,2019,9.6,18,3
Talk-Show,The Martin Talk Show,2023,9.7,10,1
Talk-Show,Charlas con valor,2014,9.5,27,2
Talk-Show,Men of Culture,2021,9.2,36,3
Thriller,Paisawala,2025,9.8,1051,1
Thriller,The Trees of the East,2018,9.8,20,2
Thriller,Protean,2025,9.8,8,3
War,Wheels of War,2015,9.7,122,1
War,Battleship Texas: The Lone Star Ship,2001,9.7,11,2
War,Dealin,2012,9.7,7,3
Western,Mr. Texas,1951,9.8,10,1
Western,Um Pistoleiro Chamado Caviúna,1971,9.6,7,2
Western,The Dog Bite Murders,2025,9.5,32,3
