director_id,primaryName,titles_count
nm8467983,Saibal Banerjee,13323
nm1203430,Johnny Manahan,13186
nm1966600,Nivedita Basu,12368
nm1409127,Bert De Leon,10365
nm1667633,Anil v Kumar,8983
nm5262331,Duma Ndlovu,8590
nm1083609,Danie Joubert,8549
nm7867124,Santosh Bhatt,8495
nm12930298,Mark Goldbridge,8141
nm13220986,Conrado Lumabas,8024
nm5460792,Shashank Bali,7628
nm5236281,Silvia Abravanel,7439
nm5239804,Malu London,7434
nm0554045,Henrique Martins,7300
nm0051678,Mário Márcio Bandarra,6984
nm0022750,Paul Alter,6889
nm2544856,Bruno De Paola,6575
nm5727175,S. Kumaran,6540
nm0042771,Walter Avancini,6421
nm1132680,Evaldo Lemos Filho,6353
