nconst,primaryName,movies_count,avg_rating,global_rank
nm12179852,Marie-Philippe Généreux,11,10.0,1
nm8220564,John Burton Churchill,13,9.969230798574594,2
nm1867490,Genevieve Howard,941,9.956960676073647,3
nm9885095,Furkan Bozkurt,45,9.948888842264811,4
nm15098397,Akaranan Worarojcharoendet,25,9.947999992370605,5
nm17696692,Saiyansh,19,9.947368370859246,6
nm13404228,Marjorie Lajoie,21,9.942857151939755,7
nm16824313,Leonit Maloku,13,9.930769260113056,8
nm16705402,Edlir Gashi,13,9.930769260113056,9
nm13586195,Adem Bal,145,9.928275838391535,10
nm16705401,Ema Fejza,12,9.925000031789144,11
nm16824312,Shaqir Bejta,12,9.925000031789144,12
nm9368683,Yash Hatkar,10,9.919999980926514,13
nm10801794,Rahul Dhiman,10,9.919999980926514,14
nm14330561,Rajesh Hatkar,10,9.919999980926514,15
nm8074070,Raj Dhiman,10,9.919999980926514,16
nm9594622,Mehak Arora,10,9.919999980926514,17
nm1491949,Dilek Aba,72,9.913888851801554,18
nm15654602,Ilkay Güz Bozkurt,105,9.909523782275972,19
nm13342775,Hilal Kuvvet,121,9.904132228252315,20
